sale_id,store_id,product_id,quantity,sale_date,amount
1,S001,OFF-AR-10003183,1.0,11/10/2017,5.344
2,S001,OFF-AR-10001446,1.0,11/10/2017,27.72
3,S002,OFF-BI-10000145,1.0,01/07/2017,2.496
4,S003,OFF-LA-10000476,1.0,27/03/2018,8.26
5,S003,OFF-BI-10001679,1.0,27/03/2018,17.76
6,S003,OFF-ST-10001128,,27/03/2018,332.94
7,S003,FUR-TA-10002533,1.0,27/03/2018,292.1
8,S003,TEC-PH-10004006,1.0,27/03/2018,206.1
9,S003,OFF-PA-10002615,1.0,27/03/2018,17.64
10,S004,FUR-CH-10001854,1.0,31/10/2017,1403.92
11,S005,OFF-AR-10000657,1.0,04/11/2018,
12,S002,TEC-AC-10000736,1.0,14/02/2015,239.97
13,S002,OFF-AP-10001293,1.0,14/02/2015,81.96
14,S002,OFF-SU-10000157,1.0,14/02/2015,238.62
15,S006,TEC-PH-10000215,1.0,18/06/2015,139.8
16,S007,OFF-BI-10001757,1.0,28/02/2018,9.84
17,S007,OFF-PA-10002137,1.0,28/02/2018,7.78
18,S008,OFF-BI-10000088,1.0,09/12/2018,54.9
19,S004,OFF-PA-10000380,1.0,07/12/2018,50.04
20,S009,FUR-BO-10001619,1.0,24/11/2017,339.92
21,S009,OFF-PA-10001609,1.0,24/11/2017,10.528
22,S009,OFF-AP-10002765,1.0,24/11/2017,42.384
23,S010,OFF-PA-10000167,1.0,03/07/2017,123.92
24,S011,TEC-PH-10004434,1.0,26/06/2017,135.95
25,S012,OFF-BI-10004995,1.0,26/07/2015,2177.584
26,S012,FUR-FU-10004666,1.0,26/07/2015,17.496
27,S012,OFF-BI-10001524,1.0,26/07/2015,16.784
28,S012,TEC-AC-10002076,1.0,26/07/2015,431.136
29,S012,OFF-BI-10001679,1.0,26/07/2015,8.88
30,S012,OFF-AP-10003281,1.0,26/07/2015,4.836
31,S013,TEC-PH-10001944,1.0,14/09/2017,437.85
32,S013,OFF-BI-10004390,1.0,14/09/2017,673.568
33,S014,OFF-PA-10002120,1.0,31/05/2016,274.8
34,S014,OFF-ST-10004340,1.0,31/05/2016,62.18
35,S014,FUR-FU-10001847,1.0,31/05/2016,8.28
36,S015,OFF-BI-10000962,1.0,09/05/2016,48.81
37,S016,FUR-CH-10004754,1.0,05/11/2015,149.9
38,S017,FUR-BO-10001811,1.0,27/03/2018,1023.332
39,S017,FUR-CH-10004063,1.0,27/03/2018,600.558
40,S017,TEC-AC-10004901,1.0,27/03/2018,39.992
41,S017,FUR-CH-10001714,1.0,27/03/2018,211.246
42,S017,OFF-EN-10003134,1.0,21/05/2015,56.064
43,S017,FUR-CH-10003396,1.0,21/05/2015,107.772
44,S017,OFF-PA-10001560,1.0,21/05/2015,4.832
45,S017,OFF-BI-10000977,1.0,21/05/2015,18.24
46,S001,OFF-BI-10003429,1.0,21/05/2017,3.798
47,S018,OFF-AR-10001374,1.0,12/01/2016,10.368
48,S018,TEC-PH-10004977,1.0,12/01/2016,235.188
49,S018,TEC-PH-10000912,1.0,12/01/2016,26.376
50,S018,TEC-AC-10000487,1.0,12/01/2016,10.384
1,S001,OFF-AR-10003183,1.0,11/10/2017,5.344
2,S001,OFF-AR-10001446,1.0,11/10/2017,27.72
